step,RL_Agent,Mom_0,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14
155,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
