step,price
0,100.0
1,99.985
2,99.985
3,99.955
4,99.93
5,99.93
6,99.93
7,99.93
8,99.93
9,99.93
10,99.93
11,99.93
12,99.93
13,99.93
14,100.06
15,100.06
16,100.06
17,100.06
18,100.06
19,100.06
20,100.06
21,100.06
22,100.06
23,100.06
24,100.06
25,100.06
26,100.06
27,100.06
28,100.06
29,100.06
30,100.06
31,100.06
32,100.06
33,100.06
34,100.06
35,100.06
36,100.06
37,100.06
38,100.06
39,100.06
40,100.06
41,100.06
42,100.08
43,100.07
44,100.065
45,100.065
46,100.065
47,100.065
48,100.065
49,100.09
50,100.075
51,100.065
52,100.0
53,100.0
54,100.0
55,100.0
56,100.0
57,99.905
58,99.905
59,99.995
60,100.0
61,100.0
62,100.0
63,100.0
64,100.0
65,99.965
66,99.97
67,99.865
68,99.86
69,99.86
70,99.86
71,99.795
72,99.795
73,99.74000000000001
74,99.74000000000001
75,99.74000000000001
76,99.615
77,99.595
78,99.595
79,99.595
80,99.595
81,99.595
82,99.595
83,99.595
84,99.595
85,99.595
86,99.50999999999999
87,99.465
88,99.47
89,99.47
90,99.47
91,99.47
92,99.47
93,99.47
94,99.47
95,99.47
96,99.475
97,99.47
98,99.485
99,99.46000000000001
100,99.47
101,99.47
102,99.47
103,99.47
104,99.47
105,99.47
106,99.43
107,99.43
108,99.43
109,99.43
110,99.43
111,99.43
112,99.43
113,99.39
114,99.435
115,99.435
116,99.435
117,99.435
118,99.435
119,99.435
120,99.435
121,99.435
122,99.435
123,99.435
124,99.5
125,99.5
126,99.5
127,99.5
128,99.545
129,99.575
130,99.575
131,99.575
132,99.58500000000001
133,99.59
134,99.575
135,99.575
136,99.575
137,99.66
138,99.66
139,99.66
140,99.66
141,99.745
142,99.75
143,99.805
144,99.83500000000001
145,99.855
146,99.905
147,99.905
148,99.905
149,99.905
150,99.905
151,99.905
152,99.965
153,99.97
154,99.97
155,100.055
156,100.105
157,100.11
158,100.11
159,100.11
160,100.11
161,100.11
162,100.11
163,100.11
164,100.11
165,100.11
166,100.11
167,100.11
168,100.17500000000001
169,100.18
170,100.18
171,100.18
172,100.18
173,100.18
174,100.18
175,100.18
176,100.18
177,100.18
178,100.18
179,100.2
180,100.19
181,100.185
182,100.18
183,100.18
184,100.18
185,100.18
186,100.18
187,100.185
188,100.14500000000001
189,100.16499999999999
190,100.16499999999999
191,100.16999999999999
192,100.175
193,100.175
194,100.175
195,100.175
196,100.17
197,100.17
198,100.17
199,100.13
200,100.15
