step,price
0,100.015
1,100.015
2,100.015
3,100.015
4,100.025
5,99.99000000000001
6,100.01
7,100.015
8,100.015
9,100.015
10,100.015
11,100.015
12,100.015
13,100.015
14,100.015
15,100.015
16,100.015
17,100.015
18,100.095
19,100.095
20,100.095
21,100.095
22,100.095
23,100.095
24,100.095
25,100.18
26,100.18
27,100.18
28,100.18
29,100.18
30,100.18
31,100.18
32,100.18
33,100.22
34,100.36500000000001
35,100.625
36,100.625
37,100.625
38,100.625
39,100.625
40,100.625
41,100.625
42,100.625
43,100.625
44,100.65
45,100.63499999999999
46,100.66499999999999
47,100.66
48,100.66
49,100.695
50,100.675
51,100.67
52,100.66499999999999
53,100.67
54,100.67
55,100.67
56,100.67
57,100.67
58,100.67
59,100.67
60,100.67
61,100.695
62,100.69
63,100.715
64,100.755
65,100.75
66,100.75
67,100.75
68,100.745
69,100.75
70,100.75
71,100.75
72,100.75
73,100.75
74,100.75
75,100.75
76,100.75
77,100.75999999999999
78,100.755
79,100.75
80,100.75
81,100.75
82,100.75
83,100.755
84,100.78
85,100.78
86,100.78
87,100.805
88,100.81
89,100.81
90,100.81
91,100.81
92,100.855
93,100.89
94,100.89
95,100.905
96,100.905
97,100.905
98,100.905
99,100.905
100,100.99000000000001
101,100.95
102,100.95
103,100.97
104,100.97
105,100.97
106,100.97
107,100.97
108,100.97
109,100.97
110,100.97
111,100.97
112,101.03
113,101.03
114,101.07
115,101.07
116,101.07
117,101.14
118,101.14
119,101.14
120,101.14
121,101.14
122,101.14
123,101.14
124,101.14
125,101.14
126,101.14
127,101.14
128,101.14
129,101.14
130,101.14
131,101.14
132,101.14
133,101.14
134,101.14
135,101.14
136,101.22
137,101.22
138,101.22
139,101.22
140,101.22
141,101.22
142,101.22
143,101.22
144,101.275
145,101.275
146,101.27000000000001
147,101.27
148,101.245
149,101.235
150,101.235
151,101.235
152,101.235
153,101.16
154,101.12
155,101.13
156,101.125
157,101.125
158,101.125
159,101.125
160,101.125
161,101.11
162,101.11
163,101.11
